Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
480,,ECCOLE 9GRS,,Productos ,"$ 2.732,27","$3.306,05 "
523,,FASTIX 25GRS,,Productos ,"$ 2.662,31","$3.221,39 "
489,,LA GOTITA 2ML,,Productos ,"$ 1.314,93","$1.591,06 "
546,,LA GOTITA GEL 3GRS,,Productos ,"$ 1.369,72","$1.657,36 "
866,,PARCHE DINI Nº4,,Productos ,"$ 1.797,68","$2.175,19 "
490,,PARCHES DINI Nº 3,,Productos ,"$ 1.934,88","$2.341,21 "
565,,POXILINA 70GRS,,Productos ,"$ 3.093,71","$3.743,39 "
577,,POXIPOL 14ML,,Productos ,"$ 3.099,88","$3.750,86 "
576,,POXIPOL TRANS 14ML,,Productos ,"$ 3.099,88","$3.750,86 "
564,,POXI-RAN 25ML,,Productos ,"$ 2.227,80","$2.695,64 "
491,,SOLUCION BIC. DINI X5U,,Productos ,"$ 6.117,07","$7.401,65 "
532,,UNIPOX UNIVERSAL 25ML,,Productos ,"$ 1.109,45","$1.342,43 "
561,,VOLIGOMA 30ML 12U,,Productos ,"$ 755,76","$914,47 "
465,,PALILLERO DE MESA 12U,,Productos ,"$ 3.715,02","$4.495,18 "
230,,ALF. AGUILA 72GRS,,Productos ,"$ 861,11","$1.041,94 "
229,,ALF. BLOCK 60GRS,,Productos ,"$ 861,11","$1.041,94 "
228,,ALF. BON O BOM 60GRS,,Productos ,"$ 861,11","$1.041,94 "
394,,ALF. TATIN SIMPLE 33GRS BLANCO,,Productos ,"$ 261,17","$316,02 "
830,,ALF. TATIN SIMPLE 33GRS NEGRO,,Productos ,"$ 261,17","$316,02 "
826,,ALF. TATIN TRIPLE 60GRS BLANCO,,Productos ,"$ 510,91","$618,20 "
501,,ALF. TATIN TRIPLE 60GRS NEGRO,,Productos ,"$ 516,67","$625,17 "
800,,ALF. TOFI TRIPLE 73 GRS BLANCO,,Productos ,"$ 861,11","$1.041,94 "
801,,ALF. TOFI TRIPLE 73GRS NEGRO,,Productos ,"$ 861,11","$1.041,94 "
543,,BARRITAS CEREAL MIX ARCOR 26GRS 20U,,Productos ,"$ 487,61","$590,01 "
848,,BOC. CABSHA ACRILICO 10GRS 18U,,Productos ,"$ 0,83","$1,00 "
738,,BOMB. ARCOR EL KIOSCO EN CASA 228GRS,,Productos ,"$ 5.494,88","$6.648,81 "
344,,BOMB. ARCOR SELECCION  247GRS,,Productos ,"$ 5.087,84","$6.156,29 "
919,,BOMB. BON O BON 15GRS 18U AGUILA,,Productos ,"$ 4.893,48","$5.921,11 "
918,,BOMB. BON O BON 15GRS 18U CHOCOLINAS,,Productos ,"$ 4.893,48","$5.921,11 "
920,,BOMB. BON O BON 15GRS 18U COCO,,Productos ,"$ 4.348,23","$5.261,36 "
231,,BOMB. BON O BON 15GRS 30U,,Productos ,"$ 269,14","$325,66 "
963,,BOMB. BON O BON SURTIDOS 255GRS,,Productos ,"$ 5.435,25","$6.576,65 "
232,,BUTTER TOFFEE 822GRS,,Productos ,"$ 6.255,94","$7.569,69 "
613,,CAR. FIZZ FRUTADO X48U,,Productos ,"$ 151,30","$183,07 "
392,,CAR. MENTA Y CHOCOLATE ARCOR 715GRS,,Productos ,"$ 5.474,75","$6.624,45 "
441,,CARAMELO MIEL ARCOR 675GRS,,Productos ,"$ 5.474,75","$6.624,45 "
575,,CHOC TOFI CLASICO 55GRS 15U,,Productos ,"$ 399,85","$483,82 "
850,,CHOC. AGUILA TAZA 150GRS,,Productos ,"$ 701,12","$848,35 "
551,,CHOC. ARCOR 95GRS,,Productos ,"$ 2.190,07","$2.649,99 "
350,,CHOC. COFLER AIR,,Productos ,"$ 1.910,11","$2.311,23 "
345,,CHOC. COFLER BLOCK 11OGRS,,Productos ,"$ 2.434,50","$2.945,75 "
524,,CHOC. COFLER BLOCK 170GRS,,Productos ,"$ 4.485,65","$5.427,64 "
635,,CHOC. COFLER BLOCK 170GRS MITI-MITI,,Productos ,"$ 4.485,65","$5.427,64 "
853,,CHOC. COFLER BLOCK 300GRS,,Productos ,"$ 4.820,34","$5.832,61 "
346,,CHOC. COFLER BLOCK 38GRS,,Productos ,"$ 940,25","$1.137,70 "
736,,CHOC. TOFI CLASICO 28GRS 25U,,Productos ,"$ 100,72","$121,87 "
589,,CHOC.MILK TABLET X20U,,Productos ,"$ 38,80","$46,95 "
442,,CHOCOLATE AGUILA POUCH X150GRS,,Productos ,"$ 2.148,00","$2.599,08 "
443,,CHOCOLATE AGUILA TAZA 100GRS,,Productos ,"$ 3.098,76","$3.749,50 "
